Domanda,Risposta
Qual è il tuo genere?,Maschio / Femmina / Altro
Quanti anni hai?,Meno di 18 anni / 18‑24 anni / 25‑34 anni / 35‑44 anni / 45‑54 anni / 55‑64 anni / 65 anni o più
In quale regione del Piemonte sei residente?,Alessandria / Asti / Biella / Cuneo / Novara / Torino / Verbano‑Cusio‑Ossola / Vercelli / Altro
Qual è il mezzo di trasporto che utilizzi maggiormente durante la settimana?,Auto / Moto / Bicicletta / Mezzi pubblici / Camminare
Quali sono i motivi principali che ti spingono ad utilizzare questo mezzo di trasporto?,Velocità / Comodità / Costo / Sostenibilità ambientale / Salute / Altri (specificare)
Hai interesse alla green mobility?,Sì / No
Saresti disposto/a a pagare di più per utilizzare un mezzo di trasporto eco‑friendly?,Sì / No / Dipende (specificare)
Pensi che l'inquinamento da mezzi di trasporto sia un problema serio per l'ambiente?,Sì / No / Non so
Saresti disposto/a ad utilizzare mezzi di trasporto alternativi per ridurre l'inquinamento?,Sì / No / Dipende (specificare)
Quali sono gli svantaggi dell'utilizzo della bicicletta come mezzo di trasporto?,Pericolosità / Fatica / Limitazione dei carichi trasportabili / Inadatto per climi freddi o piovosi / altri (specificare)
Quali sono i vantaggi dell'utilizzo della bicicletta come mezzo di trasporto?,Economicità / Salubrità / Sostenibilità ambientale / Flessibilità del percorso / altri (specificare)
Credi che l'utilizzo della bicicletta come mezzo di trasporto possa contribuire a ridurre l'inquinamento atmosferico?,Sì / No / Non so
